Country,Album_Type,Gender,ID
Greece,Unknown,Unknown,3
Greenland,Person,Unknown,1
Greensboro,Group,Unknown,2
Greenville,Group,Unknown,1
Greenwood,Unknown,Male,1
Grenada,Person,Male,1
Gretna,Person,Male,1
Groningen,Group,Unknown,2
Groningen,Person,Male,1
Grosseto,Group,Unknown,1
Grudziądz,Group,Unknown,1
Guadalajara,Person,Male,1
Guadalajara,Person,Unknown,1
Guadeloupe,Person,Female,3
Guadeloupe,Person,Male,3
Guatemala,Group,Unknown,4
Guatemala,Person,Female,1
Guatemala,Person,Male,2
Guelph,Group,Unknown,1
Guelph,Person,Male,1
Guerrero,Group,Unknown,1
Guinea,Person,Male,2
Guyana,Person,Male,1
Gympie,Group,Unknown,1
Gävle,Group,Unknown,2
Haaksbergen,Group,Unknown,1
Hagen,Group,Unknown,1
Haiti,Group,Unknown,1
Halden,Person,Unknown,1
Halifax,Group,Unknown,1
Halifax,Person,Female,1
Hallein,Group,Unknown,1
Halstead,Person,Male,1
Hamburg,Group,Unknown,9
Hamburg,Person,Female,2
Hamburg,Person,Male,4
Hamilton,Group,Unknown,3
Hammerfest,Person,Male,1
Harlem,Person,Male,2
Harrisburg,Group,Unknown,1
Hartford,Person,Female,1
Havre,Group,Unknown,1
Hawaii,Group,Unknown,3
Hawaii,Person,Female,2
Hayward,Person,Male,1
Helsingborg,Person,Female,1
Helsinki,Group,Unknown,4
Helsinki,Person,Male,2
Hendersonville,Person,Male,1
Hereford,Group,Unknown,1
Hessen,Group,Unknown,1
Hitchin,Person,Male,1
Hoboken,Group,Unknown,1
Hollywood,Group,Unknown,4
Holyoke,Group,Unknown,1
Honduras,Group,Unknown,1
Hong Kong,Group,Unknown,5
Hong Kong,Person,Female,2
Hong Kong,Person,Male,3
Honolulu,Choir,Unknown,1
Hornchurch,Person,Male,1
Houston,Group,Unknown,5
Houston,Person,Female,1
Houston,Person,Male,11
Houston,Person,Other,1
Houston,Unknown,Unknown,3
Huddersfield,Group,Unknown,1
Hudiksvall Municipality,Group,Unknown,2
Humboldt County,Group,Unknown,1
Humenné,Group,Unknown,1
Hungary,Group,Unknown,83
Hungary,Person,Female,4
Hungary,Person,Male,11
Hungary,Person,Unknown,3
Hungary,Unknown,Unknown,1
Huntington Beach,Group,Unknown,2
Huntington Beach,Unknown,Unknown,1
Huntsville,Group,Unknown,1
Huntsville,Person,Male,1
Hämeenlinna,Group,Unknown,1
Iceland,Group,Unknown,42
Iceland,Person,Female,10
Iceland,Person,Male,14
Iceland,Person,Unknown,2
Idaho,Group,Unknown,1
Illinois,Group,Unknown,2
Illinois,Person,Male,2
Incline Village,Person,Male,1
India,Group,Unknown,17
India,Person,Female,30
India,Person,Male,82
India,Person,Unknown,5
Indiana,Group,Unknown,2
Indianapolis,Group,Unknown,1
Indonesia,Group,Unknown,47
Indonesia,Person,Female,21
Indonesia,Person,Male,22
Indonesia,Person,Unknown,4
Indonesia,Unknown,Unknown,2
Inglewood,Person,Male,2
Ingolstadt,Group,Unknown,1
Iran,Group,Unknown,3
Iran,Person,Female,1
Iran,Person,Male,4
Iran,Unknown,Unknown,1
Iraq,Person,Male,1
Ireland,Group,Unknown,132
Ireland,Orchestra,Unknown,1
Ireland,Person,Female,53
Ireland,Person,Male,96
Ireland,Person,Unknown,5
Ireland,Unknown,Unknown,1
Ironbridge,Group,Unknown,1
Iserlohn,Group,Unknown,1
Ishpeming,Group,Unknown,1
Isle of Man,Group,Unknown,1
Isle of Man,Person,Female,1
Israel,Group,Unknown,40
Israel,Other,Unknown,1
Israel,Person,Female,8
Israel,Person,Male,24
Israel,Person,Unknown,1
Istanbul,Group,Unknown,2
Istanbul,Person,Male,1
Italy,Group,Unknown,708
Italy,Person,Female,172
Italy,Person,Male,472
Italy,Person,Unknown,36
Italy,Unknown,Unknown,17
Ivrea,Group,Unknown,1
