"country","publicationDateAlbum","count_song"
"FR",1953,17
"FR",1955,4
"FR",1957,4
"FR",1958,40
"FR",1959,41
"FR",1960,24
"FR",1961,46
"FR",1962,36
"FR",1963,79
"FR",1964,115
"FR",1965,103
"FR",1966,75
"FR",1967,79
"FR",1968,100
"FR",1969,110
"FR",1970,45
"FR",1971,117
"FR",1972,145
"FR",1973,201
"FR",1974,105
"FR",1975,158
"FR",1976,213
"FR",1977,150
"FR",1978,202
"FR",1979,205
"FR",1980,184
"FR",1981,240
"FR",1982,122
"FR",1983,144
"FR",1984,171
"FR",1985,290
"FR",1986,211
"FR",1987,183
"FR",1988,383
"FR",1989,367
"FR",1990,509
"FR",1991,486
"FR",1992,514
"FR",1993,444
"FR",1994,590
"FR",1995,636
"FR",1996,916
"FR",1997,829
"FR",1998,643
"FR",1999,604
"FR",2000,1016
"FR",2001,1086
"FR",2002,1009
"FR",2003,1199
"FR",2004,1139
"FR",2005,1094
"FR",2006,1159
"FR",2007,1100
"FR",2008,1125
"FR",2009,1071
"FR",2010,723
"FR",2011,696
"FR",2012,282
"FR",2013,87
"FR",2014,105
"FR",2015,22
"FR",2016,10
"GB",1828,24
"GB",1955,24
"GB",1957,34
"GB",1958,14
"GB",1959,32
"GB",1960,79
"GB",1961,95
"GB",1962,20
"GB",1963,48
"GB",1964,120
"GB",1965,316
"GB",1966,129
"GB",1967,427
"GB",1968,611
"GB",1969,623
"GB",1970,799
"GB",1971,821
"GB",1972,892
"GB",1973,704
"GB",1974,855
"GB",1975,870
"GB",1976,574
"GB",1977,716
"GB",1978,1014
"GB",1979,1064
"GB",1980,1016
"GB",1981,1213
"GB",1982,1104
"GB",1983,1174
"GB",1984,1056
"GB",1985,1139
"GB",1986,976
"GB",1987,1312
"GB",1988,1126
"GB",1989,1087
"GB",1990,1534
"GB",1991,1461
"GB",1992,1674
"GB",1993,1764
"GB",1994,2131
"GB",1995,2185
"GB",1996,2599
"GB",1997,2314
"GB",1998,2279
"GB",1999,2087
"GB",2000,2952
"GB",2001,3301
"GB",2002,3727
"GB",2003,3605
"GB",2004,3186
"GB",2005,3669
"GB",2006,3749
"GB",2007,3576
"GB",2008,3459
"GB",2009,3196
"GB",2010,3102
"GB",2011,1938
"GB",2012,1017
"GB",2013,452
"GB",2014,194
"GB",2015,124
"GL",2000,10
"GL",2001,12
"GR",1969,9
"GR",1982,13
"GR",1993,8
"GR",1994,29
"GR",1995,36
"GR",1996,18
"GR",1997,10
"GR",1998,15
"GR",1999,10
"GR",2000,40
"GR",2001,17
"GR",2002,19
"GR",2003,75
"GR",2004,42
"GR",2005,82
"GR",2006,50
"GR",2007,75
"GR",2008,85
"GR",2009,27
"GR",2010,19
"GR",2011,12
"GR",2012,12
"HK",1987,13
"HK",1997,12
"HK",1999,14
"HK",2000,12
"HK",2003,23
"HK",2004,10
"HK",2005,13
"HK",2010,13
"HR",1974,6
"HR",1975,9
"HR",1996,17
"HR",1997,34
"HR",2000,44
"HR",2001,36
"HR",2002,35
"HR",2004,10
"HR",2005,103
"HR",2007,12
"HR",2008,34
"HR",2011,12
"HU",1980,10
"HU",1987,10
"HU",1989,21
"HU",1990,81
"HU",1991,48
"HU",1992,48
"HU",1993,93
"HU",1994,88
"HU",1995,73
"HU",1996,90
"HU",1997,81
"HU",1998,66
"HU",1999,104
"HU",2000,48
"HU",2001,73
"HU",2002,45
"HU",2003,102
"HU",2004,150
"HU",2005,53
"HU",2006,87
"HU",2007,45
"HU",2008,58
"HU",2009,53
"HU",2010,25
"HU",2011,45
"HU",2012,12
"ID",1999,10
"ID",2000,12
"ID",2002,14
"ID",2003,10
"ID",2004,12
"ID",2006,31
"ID",2008,20
"ID",2009,12
"IE",1972,12
"IE",1973,13
"IE",1975,21
"IE",1976,20
"IE",1977,9
"IE",1978,12
"IE",1979,9
"IE",1980,19
"IE",1981,11
"IE",1983,14
"IE",1984,22
"IE",1985,22
"IE",1988,11
"IE",1989,37
"IE",1990,4
"IE",1991,22
"IE",1992,37
"IE",1993,22
"IE",1994,30
"IE",1995,42
"IE",1996,57
"IE",1997,12
"IE",1998,60
"IE",2000,25
"IE",2001,16
"IE",2002,41
"IE",2003,21
"IE",2005,72
"IE",2006,40
"IE",2007,47
"IE",2008,22
"IE",2009,25
"IE",2010,9
"IE",2011,58
"IE",2014,4
"IL",1975,13
"IL",1992,3
"IL",1996,9
"IL",1997,8
"IL",1999,9
"IL",2000,15
"IL",2001,9
"IL",2004,10
"IL",2005,9
"IL",2006,11
"IL",2007,23
"IL",2008,16
"IL",2009,34
"IL",2010,8
"IL",2011,13
"IN",2000,10
"IN",2004,11
"IN",2005,5
"IN",2006,19
"IN",2007,8
"IN",2009,10
"IN",2010,7
"IN",2012,12
"IR",2007,9
"IS",1994,12
"IS",1995,10
"IS",1996,20
"IS",1997,12
"IS",1998,11
"IS",1999,24
"IS",2000,10
"IS",2002,11
"IS",2003,10
"IS",2004,28
"IS",2005,12
"IS",2007,24
"IS",2008,55
"IS",2009,11
"IS",2010,33
"IT",1959,12
"IT",1963,48
"IT",1964,12
"IT",1965,12
"IT",1966,10
"IT",1967,10
"IT",1968,29
"IT",1970,67
"IT",1971,71
"IT",1972,100
"IT",1973,120
"IT",1974,92
"IT",1975,84
"IT",1976,85
"IT",1977,48
"IT",1978,90
"IT",1979,75
"IT",1980,61
"IT",1981,67
"IT",1982,89
"IT",1983,79
"IT",1984,48
"IT",1985,91
"IT",1986,46
"IT",1987,90
"IT",1988,122
"IT",1989,85
"IT",1990,99
"IT",1991,174
"IT",1992,227
"IT",1993,215
"IT",1994,225
"IT",1995,315
"IT",1996,283
"IT",1997,390
"IT",1998,381
"IT",1999,387
"IT",2000,438
"IT",2001,458
"IT",2002,476
"IT",2003,486
"IT",2004,532
"IT",2005,502
"IT",2006,529
"IT",2007,498
"IT",2008,533
"IT",2009,301
"IT",2010,339
"IT",2011,245
"IT",2012,50
"IT",2013,41
"IT",2015,13
"JM",1972,12
"JM",1973,24
"JM",1978,10
"JM",1979,22
"JM",1980,27
"JM",1992,16
"JM",1994,14
"JM",1998,12
"JM",2006,14
"JM",2007,21
"JP",1956,11
"JP",1958,11
"JP",1960,10
"JP",1963,8
"JP",1965,26
"JP",1966,39
"JP",1968,34
"JP",1969,10
"JP",1970,42
"JP",1971,28
"JP",1972,14
"JP",1973,54
"JP",1974,38
"JP",1975,59
"JP",1976,34
"JP",1977,75
"JP",1978,32
"JP",1979,48
"JP",1980,32
"JP",1981,88
"JP",1982,20
"JP",1983,60
"JP",1984,36
"JP",1985,32
"JP",1986,86
"JP",1987,76
"JP",1988,78
"JP",1989,85
"JP",1990,49
"JP",1991,100
"JP",1992,174
"JP",1993,204
"JP",1994,335
"JP",1995,220
"JP",1996,364
"JP",1997,408
"JP",1998,590
"JP",1999,505
"JP",2000,628
"JP",2001,680
"JP",2002,782
"JP",2003,1026
"JP",2004,797
"JP",2005,888
"JP",2006,1039
"JP",2007,1055
"JP",2008,618
"JP",2009,762
"JP",2010,465
"JP",2011,347
"JP",2012,106
"JP",2013,130
"JP",2014,51
"JP",2015,38
"KR",1967,11
"KR",1995,7
"KR",2001,19
"KR",2002,5
"KR",2006,33
"KR",2007,4
"KR",2008,6
"KR",2009,30
"KR",2010,19
"KR",2012,31
"LI",1997,36
"LT",1989,9
"LT",1990,11
"LT",1991,22
"LT",1992,31
"LT",1993,21
"LT",1994,113
"LT",1995,40
"LT",1996,75
"LT",1997,54
"LT",1998,44
"LT",1999,41
"LT",2000,40
"LT",2001,37
"LT",2002,90
"LT",2003,74
"LT",2004,84
"LT",2005,65
"LT",2006,123
"LT",2007,96
"LT",2008,69
"LT",2009,57
"LT",2010,53
"LT",2011,10
"LU",1996,7
"LV",1984,10
"LV",1988,9
"LV",1995,13
"LV",1996,26
"LV",1997,46
"LV",1998,23
"LV",2000,25
"LV",2001,25
"LV",2002,27
"LV",2003,27
"LV",2004,9
"LV",2005,10
"LV",2006,41
"LV",2007,21
"LV",2009,13
"LV",2010,37
"LV",2011,10
"LV",2012,13
"MK",1994,12
"MK",2009,10
"ML",1995,9
"MX",1969,12
"MX",1970,12
"MX",1972,23
"MX",1973,10
"MX",1974,12
"MX",1975,12
"MX",1976,12
"MX",1977,10
"MX",1978,12
"MX",1979,20
"MX",1980,17
"MX",1981,12
"MX",1983,11
"MX",1985,24
"MX",1986,9
"MX",1987,20
"MX",1988,32
"MX",1990,84
"MX",1991,54
"MX",1992,124
"MX",1993,120
"MX",1994,161
"MX",1995,60
"MX",1996,119
"MX",1997,118
"MX",1998,68
"MX",1999,89
"MX",2000,85
"MX",2001,98
"MX",2002,153
"MX",2003,102
"MX",2004,132
"MX",2005,228
"MX",2006,191
"MX",2007,264
"MX",2008,236
"MX",2009,161
"MX",2010,128
"MX",2011,18
"MX",2012,54
"MX",2013,5
"MX",2015,12
"MY",1991,6
"MY",1997,12
"MY",1999,13
"MY",2000,10
"MY",2002,17
"MY",2005,10
"MY",2008,5
"MY",2010,11
"MY",2012,21
"NG",1981,1
"NG",2013,15
"NL",1959,10
"NL",1960,12
"NL",1961,15
"NL",1963,30
"NL",1965,12
"NL",1966,12
"NL",1967,14
"NL",1968,42
"NL",1969,32
"NL",1970,47
"NL",1971,7
"NL",1972,62
"NL",1973,91
"NL",1974,20
"NL",1975,133
"NL",1976,55
"NL",1977,80
"NL",1978,20
"NL",1979,48
"NL",1980,143
"NL",1981,66
"NL",1982,108
"NL",1983,100
"NL",1984,54
"NL",1985,63
"NL",1986,56
"NL",1987,125
"NL",1988,78
"NL",1989,81
"NL",1990,97
"NL",1991,60
"NL",1992,143
"NL",1993,172
"NL",1994,263
"NL",1995,331
"NL",1996,297
"NL",1997,248
"NL",1998,221
"NL",1999,244
"NL",2000,400
"NL",2001,351
"NL",2002,415
"NL",2003,440
"NL",2004,295
"NL",2005,277
"NL",2006,383
"NL",2007,367
"NL",2008,318
"NL",2009,186
"NL",2010,97
"NL",2011,131
"NL",2012,50
"NL",2013,40
"NL",2014,18
"NL",2015,26
"NO",1981,14
"NO",1985,10
"NO",1986,26
"NO",1987,39
"NO",1989,22
"NO",1990,49
"NO",1991,44
"NO",1992,41
"NO",1993,93
"NO",1994,96
"NO",1995,176
"NO",1996,187
"NO",1997,190
"NO",1998,150
"NO",1999,172
"NO",2000,132
"NO",2001,207
"NO",2002,186
"NO",2003,131
"NO",2004,243
"NO",2005,163
"NO",2006,199
"NO",2007,233
"NO",2008,251
"NO",2009,120
"NO",2010,53
"NO",2011,86
"NO",2012,44
"NO",2013,26
"NO",2014,8
"NO",2015,12
"NZ",1963,4
"NZ",1965,16
"NZ",1971,14
"NZ",1975,10
"NZ",1981,5
"NZ",1985,12
"NZ",1988,12
"NZ",1992,17
"NZ",1994,8
"NZ",1995,22
"NZ",1997,11
"NZ",1998,25
"NZ",1999,24
"NZ",2001,83
"NZ",2002,96
"NZ",2003,85
"NZ",2004,113
"NZ",2005,65
"NZ",2006,63
"NZ",2007,34
"NZ",2008,24
"NZ",2009,62
"NZ",2010,6
"NZ",2011,46
"PE",1993,12
"PE",1994,12
"PE",1997,16
"PE",1998,12
"PE",1999,22
"PE",2000,12
"PE",2002,14
"PE",2003,12
"PE",2004,19
"PE",2007,13
"PE",2009,10
"PH",1993,12
"PH",1994,28
"PH",1995,17
"PH",1996,26
"PH",1997,84
"PH",1999,38
"PH",2000,25
"PH",2001,33
"PH",2002,14
"PH",2003,11
"PH",2004,38
"PH",2005,117
"PH",2006,77
"PH",2007,22
"PH",2008,28
"PH",2009,10
"PH",2010,12
"PK",2008,12
"PL",1970,10
"PL",1971,26
"PL",1972,8
"PL",1974,10
"PL",1976,6
"PL",1979,34
"PL",1980,40
"PL",1981,77
"PL",1982,26
"PL",1983,42
"PL",1984,86
"PL",1985,36
"PL",1986,61
"PL",1987,60
"PL",1988,40
"PL",1989,112
"PL",1990,126
"PL",1991,156
"PL",1992,187
"PL",1993,189
"PL",1994,281
"PL",1995,284
"PL",1996,348
"PL",1997,250
"PL",1998,375
"PL",1999,331
"PL",2000,329
"PL",2001,307
"PL",2002,382
"PL",2003,401
"PL",2004,419
"PL",2005,460
"PL",2006,242
"PL",2007,357
"PL",2008,376
"PL",2009,382
"PL",2010,280
"PL",2011,213
"PL",2012,90
"PL",2014,13
"PR",1995,11
"PR",1998,12
"PR",1999,13
"PR",2000,21
"PR",2002,28
"PR",2004,19
"PR",2005,53
"PR",2007,28
"PR",2008,10
"PR",2009,14
"PR",2010,12
"PT",1970,11
"PT",1972,10
"PT",1974,11
"PT",1976,11
"PT",1978,10
"PT",1979,10
"PT",1981,11
"PT",1982,14
"PT",1983,12
"PT",1985,18
"PT",1986,11
"PT",1987,23
"PT",1988,12
"PT",1989,10
"PT",1990,24
"PT",1992,115
"PT",1993,30
"PT",1994,32
"PT",1995,26
"PT",1996,77
"PT",1997,66
"PT",1998,111
"PT",1999,61
"PT",2000,77
"PT",2001,60
"PT",2002,55
"PT",2003,143
"PT",2004,116
"PT",2005,118
"PT",2006,69
"PT",2007,191
"PT",2008,191
"PT",2009,170
"PT",2010,106
"PT",2011,90
"PT",2012,17
"PT",2013,9
"RE",1990,11
"RE",1992,10
"RE",1995,9
"RE",2007,16
"RO",1995,13
"RO",1996,19
"RO",1997,23
"RO",1998,5
"RO",1999,44
"RO",2000,34
"RO",2001,29
"RO",2002,66
"RO",2003,42
"RO",2004,94
"RO",2005,68
"RO",2006,65
"RO",2007,25
"RO",2008,43
"RO",2009,70
"RO",2010,9
"RO",2011,23
"RO",2015,14
"RS",1997,16
"RS",1999,16
"RS",2002,11
"RS",2003,16
"RS",2004,12
"RS",2005,4
"RS",2006,10
"RS",2007,11
"RS",2008,7
"RS",2009,15
"RS",2012,7
"RS",2013,11
"RU",1969,12
"RU",1978,10
"RU",1980,10
"RU",1987,8
"RU",1996,8
"RU",1997,45
"RU",1998,42
"RU",1999,117
"RU",2000,65
"RU",2001,99
"RU",2002,149
"RU",2003,165
"RU",2004,283
"RU",2005,194
"RU",2006,245
"RU",2007,420
"RU",2008,187
"RU",2009,308
"RU",2010,212
"RU",2011,61
"RU",2012,80
"RU",2013,22
"RU",2014,24
"SA",1997,16
"SE",1958,10
"SE",1970,28
"SE",1971,54
"SE",1972,79
"SE",1973,27
"SE",1974,50
"SE",1975,53
"SE",1976,41
"SE",1977,41
"SE",1978,30
"SE",1979,87
"SE",1980,72
"SE",1981,35
"SE",1982,54
"SE",1983,61
"SE",1984,84
"SE",1985,66
"SE",1986,68
"SE",1987,123
"SE",1988,94
"SE",1989,145
"SE",1990,96
"SE",1991,119
"SE",1992,166
"SE",1993,285
"SE",1994,421
"SE",1995,496
"SE",1996,425
"SE",1997,414
"SE",1998,524
"SE",1999,446
"SE",2000,462
"SE",2001,540
"SE",2002,669
"SE",2003,809
"SE",2004,926
"SE",2005,772
"SE",2006,732
"SE",2007,767
"SE",2008,593
"SE",2009,598
"SE",2010,394
"SE",2011,280
"SE",2012,73
"SE",2013,33
"SE",2014,44
"SG",1999,8
"SG",2001,28
"SG",2003,11
"SG",2007,5
"SG",2009,11
"SG",2010,9
"SI",1991,9
"SI",1992,9
"SI",1993,12
"SI",1994,32
"SI",1995,11
"SI",1996,23
"SI",1997,12
"SI",1999,14
"SI",2000,28
"SI",2001,32
"SI",2004,35
"SI",2005,13
"SI",2006,30
"SI",2007,29
"SI",2008,14
"SI",2009,12
"SI",2010,9
"SK",1994,28
"SK",1996,12
"SK",1997,28
"SK",1999,23
"SK",2000,46
"SK",2001,13
"SK",2002,39
"SK",2003,41
"SK",2004,37
"SK",2005,27
"SK",2006,10
"SK",2007,73
"SK",2009,11
"SK",2010,40
"SU",1986,9
"SU",1989,9
"SU",1990,9
"TH",2004,9
"TR",1974,8
"TR",1977,10
"TR",1978,21
"TR",1980,10
"TR",1981,10
"TR",1982,18
"TR",1984,11
"TR",1986,24
"TR",1988,12
"TR",1989,26
"TR",1990,11
"TR",1991,10
"TR",1992,23
"TR",1993,55
"TR",1994,47
"TR",1995,43
"TR",1996,54
"TR",1997,44
"TR",1998,75
"TR",1999,68
"TR",2000,71
"TR",2001,90
"TR",2002,119
"TR",2003,98
"TR",2004,179
"TR",2005,66
"TR",2006,210
"TR",2007,117
"TR",2008,119
"TR",2009,178
"TR",2010,44
"TR",2011,58
"TR",2012,15
"TR",2013,12
"TW",1998,10
"TW",2000,10
"TW",2002,30
"TW",2003,20
"TW",2005,3
"TW",2006,25
"TW",2007,38
"TW",2009,16
"TW",2010,10
"TW",2011,56
"TZ",2008,8
"TZ",2014,20
"UA",1997,14
"UA",1999,20
"UA",2002,15
"UA",2004,11
"UA",2005,13
"UA",2006,11
"UA",2008,10
"UA",2009,21
"UA",2010,29
"UA",2011,28
"UA",2012,1
"UM",2006,12
"US",1928,14
"US",1935,2
"US",1946,18
"US",1949,36
"US",1950,8
"US",1951,3
"US",1952,8
"US",1953,55
"US",1954,111
"US",1955,104
