"country","code","name","code_2","count_song","year","gender","count_album","count_artist"
"BE","BEL","Belgium","BE",23,1978,"Group",3,3
"BE","BEL","Belgium","BE",10,1981,"Male",1,1
"BE","BEL","Belgium","BE",7,1981,"Group",1,3
"BE","BEL","Belgium","BE",23,1982,"Group",2,4
"BE","BEL","Belgium","BE",12,1983,"Group",2,0
"BE","BEL","Belgium","BE",11,1984,"Group",2,2
"BE","BEL","Belgium","BE",36,1985,"Group",4,3
"BE","BEL","Belgium","BE",15,1986,"Female",1,0
"BE","BEL","Belgium","BE",9,1986,"Male",1,1
"BE","BEL","Belgium","BE",26,1986,"Group",3,1
"BE","BEL","Belgium","BE",11,1987,"Group",1,1
"BE","BEL","Belgium","BE",54,1988,"Group",5,6
"BE","BEL","Belgium","BE",20,1989,"Male",1,2
"BE","BEL","Belgium","BE",37,1989,"Group",3,5
"BE","BEL","Belgium","BE",16,1990,"Male",1,0
"BE","BEL","Belgium","BE",94,1990,"Group",9,4
"BE","BEL","Belgium","BE",45,1991,"Male",3,0
"BE","BEL","Belgium","BE",43,1991,"Group",4,2
"BE","BEL","Belgium","BE",74,1992,"Group",6,3
"BE","BEL","Belgium","BE",18,1993,"Female",1,1
"BE","BEL","Belgium","BE",21,1993,"Male",2,1
"BE","BEL","Belgium","BE",105,1993,"Group",7,8
"BE","BEL","Belgium","BE",25,1994,"Group",2,5
"BE","BEL","Belgium","BE",38,1995,"Group",3,10
"BE","BEL","Belgium","BE",14,1996,"Female",1,0
"BE","BEL","Belgium","BE",44,1996,"Group",3,8
"BE","BEL","Belgium","BE",9,1997,"Male",1,2
"BE","BEL","Belgium","BE",57,1997,"Group",5,8
"BE","BEL","Belgium","BE",4,1998,"Male",1,0
"BE","BEL","Belgium","BE",60,1998,"Group",4,4
"BE","BEL","Belgium","BE",23,1999,"Female",2,0
"BE","BEL","Belgium","BE",101,1999,"Group",10,7
"BE","BEL","Belgium","BE",103,2000,"Group",8,8
"BE","BEL","Belgium","BE",14,2001,"Female",1,0
"BE","BEL","Belgium","BE",17,2001,"Male",1,0
"BE","BEL","Belgium","BE",170,2001,"Group",14,9
"BE","BEL","Belgium","BE",24,2002,"Female",2,0
"BE","BEL","Belgium","BE",72,2002,"Male",3,0
"BE","BEL","Belgium","BE",81,2002,"Group",7,6
"BE","BEL","Belgium","BE",26,2003,"Male",2,0
"BE","BEL","Belgium","BE",103,2003,"Group",6,9
"BE","BEL","Belgium","BE",20,2004,"Male",2,0
"BE","BEL","Belgium","BE",134,2004,"Group",11,8
"BE","BEL","Belgium","BE",28,2005,"Female",2,0
"BE","BEL","Belgium","BE",27,2005,"Male",2,0
"BE","BEL","Belgium","BE",115,2005,"Group",10,5
"BE","BEL","Belgium","BE",16,2006,"Female",1,0
"BE","BEL","Belgium","BE",97,2006,"Male",8,0
"BE","BEL","Belgium","BE",119,2006,"Group",9,1
"BE","BEL","Belgium","BE",28,2007,"Female",2,0
"BE","BEL","Belgium","BE",31,2007,"Male",2,0
"BE","BEL","Belgium","BE",219,2007,"Group",18,2
"BE","BEL","Belgium","BE",22,2008,"Male",1,0
"BE","BEL","Belgium","BE",106,2008,"Group",10,2
"BE","BEL","Belgium","BE",30,2009,"Female",2,0
"BE","BEL","Belgium","BE",22,2009,"Male",1,0
"BE","BEL","Belgium","BE",74,2009,"Group",7,1
"BE","BEL","Belgium","BE",11,2010,"Female",1,0
"BE","BEL","Belgium","BE",44,2010,"Male",2,0
"BE","BEL","Belgium","BE",132,2010,"Group",7,1
"BE","BEL","Belgium","BE",36,2011,"Group",3,0
"BE","BEL","Belgium","BE",14,2012,"Female",1,0
"BE","BEL","Belgium","BE",15,2012,"Male",1,0
"BE","BEL","Belgium","BE",10,2012,"Group",1,1
"BE","BEL","Belgium","BE",11,2013,"Female",1,0
"BE","BEL","Belgium","BE",12,2013,"Group",1,0
"BG","BGD","Bangladesh","BD",9,2003,"Group",1,0
"BG","BGD","Bangladesh","BD",7,2007,"Group",1,0
"BG","BGD","Bangladesh","BD",16,2008,"Group",1,0
"BR","BRA","Brazil","BR",8,1954,"Male",1,1
"BR","BRA","Brazil","BR",8,1955,"Male",1,1
"BR","BRA","Brazil","BR",15,1956,"Male",2,2
"BR","BRA","Brazil","BR",16,1957,"Female",2,1
"BR","BRA","Brazil","BR",8,1957,"Male",1,3
"BR","BRA","Brazil","BR",26,1958,"Female",2,0
"BR","BRA","Brazil","BR",20,1958,"Male",2,1
"BR","BRA","Brazil","BR",26,1959,"Male",3,4
"BR","BRA","Brazil","BR",14,1960,"Male",2,6
"BR","BRA","Brazil","BR",12,1961,"Female",1,1
"BR","BRA","Brazil","BR",24,1961,"Male",2,3
"BR","BRA","Brazil","BR",12,1962,"Female",1,3
"BR","BRA","Brazil","BR",16,1962,"Male",3,6
"BR","BRA","Brazil","BR",24,1962,"Group",2,0
"BR","BRA","Brazil","BR",24,1963,"Female",2,1
"BR","BRA","Brazil","BR",24,1963,"Male",2,1
"BR","BRA","Brazil","BR",21,1964,"Female",2,2
"BR","BRA","Brazil","BR",47,1964,"Male",4,3
"BR","BRA","Brazil","BR",12,1965,"Female",1,4
"BR","BRA","Brazil","BR",74,1965,"Male",6,0
"BR","BRA","Brazil","BR",21,1965,"Group",2,3
"BR","BRA","Brazil","BR",24,1966,"Female",2,2
"BR","BRA","Brazil","BR",48,1966,"Male",4,3
"BR","BRA","Brazil","BR",43,1966,"Group",4,2
"BR","BRA","Brazil","BR",26,1967,"Female",2,1
"BR","BRA","Brazil","BR",99,1967,"Male",8,2
"BR","BRA","Brazil","BR",21,1967,"Group",2,0
"BR","BRA","Brazil","BR",24,1968,"Female",2,1
"BR","BRA","Brazil","BR",48,1968,"Male",4,3
"BR","BRA","Brazil","BR",21,1969,"Female",2,1
"BR","BRA","Brazil","BR",125,1969,"Male",10,0
"BR","BRA","Brazil","BR",41,1970,"Female",4,0
"BR","BRA","Brazil","BR",80,1970,"Male",7,2
"BR","BRA","Brazil","BR",12,1970,"Group",1,0
"BR","BRA","Brazil","BR",30,1971,"Female",2,2
"BR","BRA","Brazil","BR",66,1971,"Male",6,2
"BR","BRA","Brazil","BR",12,1971,"Group",1,1
"BR","BRA","Brazil","BR",34,1972,"Female",3,1
"BR","BRA","Brazil","BR",75,1972,"Male",7,7
"BR","BRA","Brazil","BR",34,1972,"Group",3,1
"BR","BRA","Brazil","BR",28,1973,"Female",3,1
"BR","BRA","Brazil","BR",109,1973,"Male",10,2
"BR","BRA","Brazil","BR",22,1973,"Group",2,5
"BR","BRA","Brazil","BR",21,1974,"Female",2,4
